source,model_kind,modality,model_family,name,partition,scope,scope_type,comparable_scope,groups,variant_type,n,acc,macro_f1,macro_recall,macro_precision,weighted_f1,variant_precision,variant_recall,variant_specificity,variant_balanced_acc,variant_f1,variant_f2,variant_tp,variant_tn,variant_fp,variant_fn,binary_acc,binary_balanced_acc,binary_precision,binary_recall,binary_specificity,binary_f1,binary_f2
checkpoint,hybrid,hybrid,hybrid_simple_3c,hybrid_simple,test,illumina_view_SNP,view_variant_type,illumina_view_SNP,"10,11",SNP,242328,0.9990178600904559,0.9990214394628193,0.9992754740675011,0.9987697956125485,0.9990183569495837,0.9981533026442565,0.9999016944305427,0.9984129661432777,0.9991573302869101,0.9990267335745129,0.9995515262399817,111885,130225,207,11,0.9991003928559639,0.9991573302869101,0.9981533026442565,0.9999016944305427,0.9984129661432777,0.9990267335745129,0.9995515262399817
checkpoint,hybrid,hybrid,hybrid_simple_3c,hybrid_simple,test,illumina_view_INDEL,view_variant_type,illumina_view_INDEL,"10,11",INDEL,17677,0.9968886123210952,0.9969221891453904,0.9968670660745969,0.9969809941911061,0.9968896208885013,0.9987885640445807,0.9983854040526356,0.9971644612476369,0.9977749326501363,0.998586943356115,0.998466010011103,12367,5275,15,20,0.9980200260225152,0.9977749326501363,0.9987885640445807,0.9983854040526356,0.9971644612476369,0.998586943356115,0.998466010011103
checkpoint,hybrid,hybrid,hybrid_simple_3c,hybrid_simple,test,ont_view_SNP,view_variant_type,ont_view_SNP,"1,11",SNP,122685,0.99889962098056,0.997823880753088,0.996925790614909,0.9987291945968444,0.9988985476046891,0.999206342128965,0.9998126187863051,0.991614848313548,0.9957137335499265,0.9995093885191915,0.9996913046036439,112050,10525,89,21,0.9991033948730489,0.9957137335499265,0.999206342128965,0.9998126187863051,0.991614848313548,0.9995093885191915,0.9996913046036439
checkpoint,hybrid,hybrid,hybrid_simple_3c,hybrid_simple,test,ont_view_INDEL,view_variant_type,ont_view_INDEL,"1,11",INDEL,278374,0.9992168808868644,0.9931823450992003,0.9878837823104613,0.9986551958525265,0.9992106759472973,0.999336932840769,0.9813953488372091,0.9999738439003976,0.9906845963688033,0.9902848829018324,0.9849319416694249,10550,267617,7,200,0.9992563960714722,0.9906845963688033,0.999336932840769,0.9813953488372091,0.9999738439003976,0.9902848829018324,0.9849319416694249
checkpoint,hybrid,hybrid,hybrid_simple_3c,hybrid_simple,test,group_1,group,group_1,1,ALL,278573,0.9989410316146935,0.8831879731304345,0.8551009361091569,0.9203653500462016,0.9988683312415902,0.8599999999999984,0.6935483870967731,0.9997229129406854,0.8466356500187293,0.7678571428566472,0.7214765100669385,473,277814,77,209,0.9989733391247536,0.8466356500187293,0.8599999999999984,0.6935483870967731,0.9997229129406854,0.7678571428566472,0.7214765100669385
checkpoint,hybrid,hybrid,hybrid_simple_3c,hybrid_simple,test,group_10,group,group_10,10,ALL,137519,0.9982911452235691,0.967841445167628,0.9891845649927071,0.9499454232071867,0.9983522301926169,0.912800687285223,0.9911380597014922,0.9985004616805171,0.9948192606910047,0.950357781752631,0.9744130594275227,2125,135172,203,19,0.9983856776154568,0.9948192606910047,0.912800687285223,0.9911380597014922,0.9985004616805171,0.950357781752631,0.9744130594275227
checkpoint,hybrid,hybrid,hybrid_simple_3c,hybrid_simple,test,group_11,group,group_11,11,ALL,122486,0.9995264764952729,0.9847335673897099,0.9815229687433478,0.9880103464424314,0.9995252186043815,0.9998444484469405,0.9999017512833739,0.9452449567723316,0.9725733540278527,0.9998730990436491,0.9998902901904332,122127,328,19,12,0.9997469098509217,0.9725733540278527,0.9998444484469405,0.9999017512833739,0.9452449567723316,0.9998730990436491,0.9998902901904332
checkpoint,hybrid,hybrid,hybrid_simple_3c,hybrid_simple,test,variant_SNP,variant_type,variant_SNP,ALL,SNP,253151,0.9987003804053707,0.9986857597577891,0.9990325379543648,0.9983426488220356,0.9987012303766047,0.9975389153457958,0.9997595768552653,0.9980333548693991,0.9988964658623323,0.9986480115981373,0.9993146539445448,112275,140572,277,27,0.9987991356937164,0.9988964658623323,0.9975389153457958,0.9997595768552653,0.9980333548693991,0.9986480115981373,0.9993146539445448
checkpoint,hybrid,hybrid,hybrid_simple_3c,hybrid_simple,test,variant_INDEL,variant_type,variant_INDEL,ALL,INDEL,285427,0.9990925875968286,0.9927912149715671,0.9882719643088601,0.9974158946735567,0.9990870708366123,0.998236048749198,0.9831793413882964,0.9999193441949817,0.9915493427916391,0.9906504873677114,0.9861542361065122,12450,272742,22,213,0.9991766721438406,0.9915493427916391,0.998236048749198,0.9831793413882964,0.9999193441949817,0.9906504873677114,0.9861542361065122
checkpoint,hybrid,hybrid,hybrid_groupwise_3c,hybrid_groupwise,test,hybrid_all,view,hybrid_all,"1,10,11",ALL,538578,0.9986687165090293,0.9979133374497717,0.9983242590686929,0.9975040691011469,0.9986695719695141,0.996421039176839,0.998103468971312,0.9989168618974742,0.9985101654343931,0.9972615444884083,0.9977665286477497,124728,413165,448,237,0.9987281322296864,0.9985101654343931,0.996421039176839,0.998103468971312,0.9989168618974742,0.9972615444884083,0.9977665286477497
