source_csv,source,model_kind,modality,model_family,name,partition,scope,scope_type,comparable_scope,groups,variant_type,n,acc,macro_f1,macro_recall,macro_precision,weighted_f1,variant_precision,variant_recall,variant_specificity,variant_balanced_acc,variant_f1,variant_f2,variant_tp,variant_tn,variant_fp,variant_fn,binary_acc,binary_balanced_acc,binary_precision,binary_recall,binary_specificity,binary_f1,binary_f2
hybrid_simple.csv,checkpoint,hybrid,hybrid,hybrid_simple_3c,hybrid_simple,test,hybrid_all_SNP,view_variant_type,hybrid_all_SNP,"1,10,11",SNP,170119,0.99924758551367,0.999283756410706,0.9992718192741707,0.9992959138829772,0.9992475846945864,0.9992705599786506,0.9997063168574124,0.9985801603379912,0.9991432385977016,0.9994883909222204,0.9996191350804846,112333,57671,82,33,0.9993240026099376,0.9991432385977016,0.9992705599786506,0.9997063168574124,0.9985801603379912,0.9994883909222204,0.9996191350804846
hybrid_simple.csv,checkpoint,hybrid,hybrid,hybrid_simple_3c,hybrid_simple,test,hybrid_all_INDEL,view_variant_type,hybrid_all_INDEL,"1,10,11",INDEL,300607,0.998765830469683,0.9907426432243512,0.983018150233202,0.9988652894870664,0.9987512100800352,0.9992051506239568,0.97238551980198,0.9999652390337842,0.986175379417882,0.9856129209293678,0.9776336459643716,12571,287669,10,357,0.9987791368797134,0.986175379417882,0.9992051506239568,0.97238551980198,0.9999652390337842,0.9856129209293678,0.9776336459643716
hybrid_simple.csv,checkpoint,hybrid,hybrid,hybrid_simple_3c,hybrid_simple,test,illumina_view_SNP,view_variant_type,illumina_view_SNP,"10,11",SNP,168004,0.9997500059522392,0.9997608115671194,0.999751771712928,0.999769913272771,0.9997500044351492,0.999714609326924,0.9999375568678524,0.9994275696755036,0.999682563271678,0.9998260706683252,0.9998929594046542,112095,55870,32,7,0.9997678626699364,0.999682563271678,0.999714609326924,0.9999375568678524,0.9994275696755036,0.9998260706683252,0.9998929594046542
hybrid_simple.csv,checkpoint,hybrid,hybrid,hybrid_simple_3c,hybrid_simple,test,illumina_view_INDEL,view_variant_type,illumina_view_INDEL,"10,11",INDEL,15847,0.9991165520287753,0.9989631108650276,0.9990954143596036,0.998831322986418,0.999116701695628,0.9996808425756004,0.9992821821662146,0.9987911755817463,0.9990366788739804,0.9994814726172654,0.9993618888089248,12529,3305,4,9,0.9991796554552912,0.9990366788739804,0.9996808425756004,0.9992821821662146,0.9987911755817463,0.9994814726172654,0.9993618888089248
hybrid_simple.csv,checkpoint,hybrid,hybrid,hybrid_simple_3c,hybrid_simple,test,ont_view_SNP,view_variant_type,ont_view_SNP,"1,11",SNP,114214,0.9991069396046018,0.9921454588463506,0.9899959229790406,0.994325706029728,0.999104362870174,0.9994833422412256,0.999723788903442,0.9707218576476524,0.9852228232755472,0.999603551112452,0.9996756903161264,112202,1923,58,31,0.9992207610275448,0.9852228232755472,0.9994833422412256,0.999723788903442,0.9707218576476524,0.999603551112452,0.9996756903161264
hybrid_simple.csv,checkpoint,hybrid,hybrid,hybrid_simple_3c,hybrid_simple,test,ont_view_INDEL,view_variant_type,ont_view_INDEL,"1,11",INDEL,295139,0.998773459285286,0.98906110497947,0.9796838536801298,0.9990251802735516,0.9987556065087732,0.9994182100261804,0.9668855534709192,0.9999789088122496,0.9834322311415844,0.9828827540165694,0.9732215360789682,10307,284473,6,353,0.9987836239873416,0.9834322311415844,0.9994182100261804,0.9668855534709192,0.9999789088122496,0.9828827540165694,0.9732215360789682
hybrid_simple.csv,checkpoint,hybrid,hybrid,hybrid_simple_3c,hybrid_simple,test,group_1,group,group_1,1,ALL,286875,0.9984557734204792,0.7804135304130561,0.7352003444114059,0.8845815180607265,0.9981396572528828,0.8333333333333308,0.4281345565749229,0.9998043469906122,0.7139694517827675,0.5656565656561161,0.4742547425472985,280,286165,56,374,0.9985010893246188,0.7139694517827675,0.8333333333333308,0.4281345565749229,0.9998043469906122,0.5656565656561161,0.4742547425472985
hybrid_simple.csv,checkpoint,hybrid,hybrid,hybrid_simple_3c,hybrid_simple,test,group_10,group,group_10,10,ALL,61373,0.9994297166506444,0.9953931621407036,0.9980585680835636,0.992763006741728,0.9994315856874324,0.9884440775897644,0.9975010412328192,0.9995251983992404,0.9985131198160296,0.9929519071305112,0.995676394778214,2395,58944,28,6,0.999446010460626,0.9985131198160296,0.9884440775897644,0.9975010412328192,0.9995251983992404,0.9929519071305112,0.995676394778214
hybrid_simple.csv,checkpoint,hybrid,hybrid,hybrid_simple_3c,hybrid_simple,test,group_11,group,group_11,11,ALL,122478,0.9998285406358692,0.9874388353493236,0.9887750547573544,0.9861137564111288,0.9998288465100658,0.9999345533676384,0.9999181930480452,0.9665271966527156,0.9832226948503804,0.9999263731404217,0.9999214650689352,122229,231,8,10,0.9998530348307452,0.9832226948503804,0.9999345533676384,0.9999181930480452,0.9665271966527156,0.9999263731404217,0.9999214650689352
hybrid_simple.csv,checkpoint,hybrid,hybrid,hybrid_simple_3c,hybrid_simple,test,variant_SNP,variant_type,variant_SNP,ALL,SNP,170119,0.99924758551367,0.999283756410706,0.9992718192741707,0.9992959138829772,0.9992475846945864,0.9992705599786506,0.9997063168574124,0.9985801603379912,0.9991432385977016,0.9994883909222204,0.9996191350804846,112333,57671,82,33,0.9993240026099376,0.9991432385977016,0.9992705599786506,0.9997063168574124,0.9985801603379912,0.9994883909222204,0.9996191350804846
